order_id,order_date,customer_id,product,region,quantity,unit_price,category,revenue
312,2024-04-15 00:00:00,1235,Charger,West,5,549.83,Accessories,2749.15
3926,2024-02-25 00:00:00,1012,Printer,North,5,622.23,Office,3111.15
7896,2024-01-11 00:00:00,1198,Monitor,North,1,87.13,Electronics,87.13
2422,2024-09-14 00:00:00,1079,Monitor,North,3,372.56,Electronics,1117.68
4594,2025-03-04 00:00:00,1210,Speaker,East,1,731.29,Accessories,731.29
40,2025-01-22 00:00:00,1174,Tablet,South,4,408.54,Electronics,1634.16
2395,2024-06-01 00:00:00,1185,Laptop,South,5,489.32,Electronics,2446.6
5178,2024-04-30 00:00:00,1024,Printer,East,5,258.42,Office,1292.1000000000001
3631,2024-12-15 00:00:00,1058,Charger,North,5,671.78,Accessories,3358.8999999999996
4340,2024-04-20 00:00:00,1293,Printer,North,3,183.6,Office,550.8
1948,2025-04-10 00:00:00,1080,Webcam,North,4,119.98,Electronics,479.92
2364,2024-10-28 00:00:00,1012,Webcam,East,1,711.76,Electronics,711.76
2408,2024-04-14 00:00:00,1251,Mouse,North,4,589.1,Accessories,2356.4
3427,2025-02-17 00:00:00,1219,Laptop,West,2,306.14,Electronics,612.28
1625,2025-06-04 00:00:00,1193,Monitor,North,2,412.12,Electronics,824.24
3386,2025-01-14 00:00:00,1226,Keyboard,West,4,531.67,Accessories,2126.68
1520,2025-03-02 00:00:00,1067,Tablet,East,1,386.04,Electronics,386.04
4857,2024-11-12 00:00:00,1278,Laptop,North,5,110.0,Electronics,550.0
5707,2024-09-25 00:00:00,1292,Webcam,South,3,652.93,Electronics,1958.79
162,2024-07-21 00:00:00,1154,Charger,West,1,633.55,Accessories,633.55
3629,2024-09-24 00:00:00,1153,Headphones,North,5,571.17,Accessories,2855.85
3501,2024-03-10 00:00:00,1023,Printer,East,3,55.02,Office,165.06
2702,2024-06-23 00:00:00,1230,Webcam,East,1,133.47,Electronics,133.47
1061,2024-09-06 00:00:00,1081,Headphones,North,5,485.54,Accessories,2427.7000000000003
1990,2024-01-13 00:00:00,1249,Speaker,North,1,32.43,Accessories,32.43
7137,2024-02-22 00:00:00,1215,Tablet,South,5,283.46,Electronics,1417.3
1874,2025-03-10 00:00:00,1258,Webcam,West,3,267.15,Electronics,801.4499999999999
474,2025-01-21 00:00:00,1016,Speaker,East,4,533.26,Accessories,2133.04
4881,2024-04-07 00:00:00,1166,Printer,North,4,185.2,Office,740.8
2667,2024-02-22 00:00:00,1038,Webcam,North,1,669.23,Electronics,669.23
7346,2025-06-05 00:00:00,1142,Webcam,East,1,519.83,Electronics,519.83
2875,2025-03-21 00:00:00,1026,Printer,North,3,327.17,Office,981.51
5001,2024-10-04 00:00:00,1006,Tablet,West,2,,Electronics,958.78
7717,2025-06-06 00:00:00,1186,Speaker,South,4,677.71,Accessories,2710.84
4468,2025-03-17 00:00:00,1204,Keyboard,North,2,30.89,Accessories,61.78
5030,2025-04-29 00:00:00,1065,Headphones,East,5,725.89,Accessories,3629.45
562,2024-12-13 00:00:00,1080,Mouse,South,2,690.01,Accessories,1380.02
6241,2025-01-13 00:00:00,1250,Charger,North,3,490.75,Accessories,1472.25
947,2024-09-12 00:00:00,1277,Speaker,South,5,684.57,Accessories,3422.8500000000004
6968,2024-07-31 00:00:00,1248,Webcam,North,2,203.71,Electronics,407.42
6843,2024-11-21 00:00:00,1133,Keyboard,East,4,680.65,Accessories,2722.6
901,2025-04-02 00:00:00,1044,Keyboard,West,4,529.98,Accessories,2119.92
308,2024-12-15 00:00:00,1239,Headphones,West,1,308.11,Accessories,308.11
445,2025-02-25 00:00:00,1294,Mouse,East,1,263.35,Accessories,263.35
570,2024-09-24 00:00:00,1273,Mouse,West,1,98.54,Accessories,98.54
3855,2025-03-22 00:00:00,1091,Monitor,North,2,453.06,Electronics,906.12
4942,2024-02-25 00:00:00,1259,Laptop,South,2,193.34,Electronics,386.68
5728,2024-10-22 00:00:00,1285,Printer,East,4,739.6,Office,2958.4
6604,2024-06-09 00:00:00,1258,Printer,North,5,379.0,Office,1895.0
325,2024-08-24 00:00:00,1094,Tablet,South,5,142.47,Electronics,712.35
1741,2024-08-03 00:00:00,1257,Tablet,South,4,103.22,Electronics,412.88
628,18/03/2024,1297,Headphones,North,5,641.46,Accessories,3207.3
1300,2025-03-05 00:00:00,1231,Headphones,North,1,663.48,Accessories,663.48
2585,2024-11-15 00:00:00,1082,Tablet,North,5,153.82,Electronics,769.0999999999999
5037,2024-07-16 00:00:00,1212,Keyboard,South,3,224.01,Accessories,672.03
4638,2025-03-14 00:00:00,1242,Tablet,South,1,622.24,Electronics,622.24
5433,2024-10-07 00:00:00,1066,Mouse,East,1,616.05,Accessories,616.05
2513,2024-12-30 00:00:00,1223,Keyboard,East,4,270.54,Accessories,1082.16
6108,2024-02-27 00:00:00,1299,Mouse,North,4,599.12,Accessories,2396.48
7071,2024-03-02 00:00:00,1155,Headphones,South,1,338.16,Accessories,338.16
4884,2025-04-21 00:00:00,1029,Keyboard,South,2,589.73,Accessories,1179.46
5798,2024-01-16 00:00:00,1226,Charger,West,4,614.45,Accessories,2457.8
1160,2024-04-29 00:00:00,1265,Printer,East,2,442.03,Office,884.06
